chr	start_pos	end_pos	value
chr4	3107103	3107104	1.0
chr4	3115534	3115535	1.0
chr4	3178715	3178716	1.5
chr4	3204712	3204713	1.0
chr4	3230050	3230051	1.4591479170272446
chr4	3246194	3246195	0.9182958340544896
chr4	3246196	3246197	0.9182958340544896
chr4	3246213	3246214	0.9182958340544896
chr4	3246219	3246220	1.0
chr4	3246223	3246224	0.9456603046006402
chr4	3246275	3246276	1.6714055834424972
chr4	3246303	3246304	0.9876925088958034
chr4	3246310	3246311	0.8453509366224365
chr4	3246318	3246319	0.9876925088958034
chr4	3246321	3246322	0.9876925088958034
chr4	3246323	3246324	0.828055725379504
chr4	3246331	3246332	0.961236604722876
chr4	3252710	3252711	0.8112781244591328
chr4	3257479	3257480	2.0
chr4	3258776	3258777	1.0
chr4	3258997	3258998	1.0
chr4	3259040	3259041	1.0
chr4	3279597	3279598	0.9910760598382222
chr4	3289979	3289980	1.0
chr4	3290160	3290161	1.0
chr4	3313015	3313016	1.0
chr4	3338783	3338784	1.0
chr4	3339901	3339902	1.0
chr4	3342488	3342489	1.9211854965885544
chr4	3345222	3345223	1.0
chr4	3346056	3346057	1.0
chr4	3369504	3369505	2.0
chr4	3371982	3371983	1.0
chr4	3381411	3381412	1.0
chr4	3381947	3381948	1.0
chr4	3390644	3390645	1.6893917467430877
chr4	3428698	3428699	1.9219280948873623
chr4	3431422	3431423	2.0
chr4	3524095	3524096	1.0
chr4	3528413	3528414	1.9609640474436814
chr4	3575020	3575021	2.0272925846688996
chr4	3575074	3575075	1.4182958340544896
chr4	3575083	3575084	1.186278124459133
chr4	3575094	3575095	1.7187828921272554
chr4	3575354	3575355	1.3609640474436813
chr4	3575358	3575359	1.1401156785146092
chr4	3575376	3575377	1.8390542702436175
chr4	3575393	3575394	0.9910760598382222
chr4	3575486	3575487	1.9125056054120886
chr4	3575738	3575739	1.75
chr4	3576027	3576028	1.4854752972273344
chr4	3576087	3576088	1.4591479170272446
chr4	3576568	3576569	1.0
chr4	3577724	3577725	1.6804820237218405
chr4	3577760	3577761	1.0575851584676959
chr4	3581147	3581148	1.3250112108241772
chr4	3581154	3581155	1.4345491399952024
chr4	3581175	3581176	0.9709505944546686
chr4	3581867	3581868	1.7295739585136223
chr4	3583488	3583489	1.5744174271404583
chr4	3583567	3583568	2.1179631753145163
chr4	3585037	3585038	1.103307408607834
chr4	3585060	3585061	0.8904916402194913
chr4	3585092	3585093	1.6893917467430877
chr4	3585154	3585155	1.75
chr4	3585167	3585168	1.0957952550009338
chr4	3585173	3585174	0.8180959929710641
chr4	3585354	3585355	2.0
chr4	3585524	3585525	0.8530581027312406
chr4	3585532	3585533	1.0999324779355932
chr4	3585534	3585535	1.3516441151533924
chr4	3585555	3585556	1.183088913358015
chr4	3585614	3585615	1.6514812425365812
chr4	3585636	3585637	0.9402859586706309
chr4	3585643	3585644	1.0214554656116668
chr4	3585679	3585680	1.7924812503605778
chr4	3585712	3585713	0.9182958340544896
chr4	3585740	3585741	0.9366673818775626
chr4	3585743	3585744	1.384381457724494
chr4	3585748	3585749	0.9975025463691153
chr4	3585786	3585787	1.4926140680171258
chr4	3585794	3585795	0.9912642605354289
chr4	3585822	3585823	1.936737545904466
chr4	3585829	3585830	0.8812908992306927
chr4	3585842	3585843	1.6854752972273344
chr4	3585858	3585859	2.0
chr4	3585876	3585877	1.4056390622295662
chr4	3585955	3585956	1.5
chr4	3586164	3586165	1.0
chr4	3586179	3586180	1.9084284132597937
chr4	3586188	3586189	0.8812908992306927
chr4	3586217	3586218	1.5915103967743391
chr4	3586240	3586241	0.9940302114769565
chr4	3586254	3586255	1.945530556036326
chr4	3586262	3586263	1.4839904575514165
chr4	3586265	3586266	0.9366673818775626
chr4	3586405	3586406	1.5
chr4	3586620	3586621	1.5828765043125572
chr4	3586775	3586776	1.7295739585136223
chr4	3587477	3587478	1.0408520829727552
chr4	3587976	3587977	1.9056390622295662
chr4	3588001	3588002	2.0
chr4	3589198	3589199	1.4056390622295662
chr4	3589200	3589201	0.8812908992306927
chr4	3589217	3589218	1.0
chr4	3591237	3591238	0.9967916319816366
chr4	3591560	3591561	1.5
chr4	3593595	3593596	1.4591479170272448
chr4	3593617	3593618	1.2916919971380596
chr4	3595384	3595385	1.3366664819166876
chr4	3595474	3595475	1.3609640474436813
chr4	3595587	3595588	1.90837504748374
chr4	3595645	3595646	0.863120568566631
chr4	3598521	3598522	1.5783898247235197
chr4	3598660	3598661	1.7783283537314116
chr4	3601104	3601105	1.6854752972273346
chr4	3602252	3602253	1.1562272836006513
chr4	3602288	3602289	0.9182958340544896
chr4	3603325	3603326	1.6960736118322672
chr4	3603559	3603560	1.75
chr4	3604148	3604149	1.75
chr4	3604746	3604747	2.0242710697495316
chr4	3604759	3604760	1.6288369883498632
chr4	3604772	3604773	1.7033848993102918
chr4	3604775	3604776	1.1291072960267263
chr4	3604779	3604780	1.2834953407833254
chr4	3604852	3604853	0.9182958340544896
chr4	3604857	3604858	0.9182958340544896
chr4	3605440	3605441	1.4591479170272446
chr4	3605880	3605881	1.9609640474436814
chr4	3605881	3605882	1.0957952550009338
chr4	3605883	3605884	0.946372935985442
chr4	3605900	3605901	1.0575851584676959
chr4	3606215	3606216	1.5
chr4	3609514	3609515	1.4591479170272448
chr4	3609871	3609872	1.875
chr4	3612580	3612581	1.0
chr4	3613215	3613216	1.7295739585136223
chr4	3614889	3614890	0.9910760598382222
chr4	3614973	3614974	1.5306390622295662
chr4	3615012	3615013	1.9276942711037668
chr4	3615019	3615020	1.309200032697812
chr4	3615082	3615083	1.0
chr4	3615094	3615095	1.8942738697712644
chr4	3615097	3615098	1.0214554656116668
chr4	3615107	3615108	0.9402859586706309
chr4	3615114	3615115	1.3056334087653163
chr4	3615124	3615125	0.934068055375491
chr4	3615131	3615132	1.7527779081499903
chr4	3615141	3615142	1.1461047148587138
chr4	3615163	3615164	2.0994024488606584
chr4	3615167	3615168	0.9143095546405663
chr4	3615173	3615174	1.0102527195535975
chr4	3615184	3615185	2.2663339761365244
chr4	3615223	3615224	0.9182958340544896
chr4	3615237	3615238	1.6493974703476995
chr4	3615291	3615292	1.7295739585136223
chr4	3615311	3615312	0.9182958340544896
chr4	3615655	3615656	1.9894908719265079
chr4	3615661	3615662	1.1182751607709762
chr4	3615667	3615668	0.8960382325345575
chr4	3615684	3615685	1.4086712617925177
chr4	3615695	3615696	1.9219280948873623
chr4	3615817	3615818	1.4166422780956525
chr4	3615928	3615929	1.8174254585954033
chr4	3615937	3615938	0.8424240244940003
chr4	3615952	3615953	1.0584546687309146
chr4	3615962	3615963	0.9980008838722996
chr4	3615999	3616000	1.0
chr4	3616001	3616002	1.2957378005380122
chr4	3616008	3616009	1.4392540172118764
chr4	3616009	3616010	1.8372068966242556
chr4	3616051	3616052	1.4854752972273344
chr4	3616259	3616260	1.5
chr4	3616420	3616421	1.0
chr4	3616453	3616454	1.4591479170272446
chr4	3616470	3616471	1.8895782867502309
chr4	3616474	3616475	1.5325133434811156
chr4	3616479	3616480	0.9703437707962481
chr4	3616487	3616488	1.1803104756317035
chr4	3616496	3616497	1.279367084713896
chr4	3617126	3617127	1.7295739585136223
chr4	3649282	3649283	1.4591479170272448
chr4	3650427	3650428	1.75
chr4	3685435	3685436	1.0
chr4	3687385	3687386	1.4056390622295662
chr4	3687428	3687429	2.0
chr4	3705393	3705394	1.0
chr4	3718857	3718858	1.75
chr4	3720451	3720452	1.9609640474436814
chr4	3720463	3720464	1.792481250360578
chr4	3723077	3723078	1.5
chr4	3723084	3723085	2.0
chr4	3724878	3724879	1.2638091738835462
chr4	3745564	3745565	1.4591479170272446
chr4	3783035	3783036	1.497863726042463
