chr	start_pos	end_pos	value
chr9	3018975	3018976	1.4152689500270954
chr9	3090493	3090494	1.75
chr9	3094249	3094250	1.3787834934861758
chr9	3096866	3096867	1.7924812503605778
chr9	3102566	3102567	1.6493974703476995
chr9	3197821	3197822	1.7609640474436812
chr9	3199616	3199617	1.3609640474436813
chr9	3203544	3203545	1.0
chr9	3203622	3203623	1.0
chr9	3203645	3203646	2.0
chr9	3214711	3214712	1.792481250360578
chr9	3215914	3215915	0.9182958340544896
chr9	3237066	3237067	1.7806390622295662
chr9	3243799	3243800	1.0
chr9	3262729	3262730	1.9528195311147831
chr9	3287643	3287644	1.75
chr9	3316445	3316446	1.9591479170272446
chr9	3335530	3335531	1.0
chr9	3335547	3335548	2.0
chr9	3335548	3335549	1.3709505944546687
chr9	3335568	3335569	1.5693078231812962
chr9	3335572	3335573	1.2494602799216177
chr9	3335573	3335574	1.378922357604568
chr9	3335577	3335578	1.1841636411194805
chr9	3335598	3335599	1.995236640510314
chr9	3336650	3336651	0.8112781244591328
chr9	3337560	3337561	1.0
chr9	3338478	3338479	1.7854752972273342
chr9	3338499	3338500	0.9933927290103626
chr9	3338532	3338533	1.6854752972273344
chr9	3338581	3338582	1.795852844411399
chr9	3340591	3340592	1.5
chr9	3340606	3340607	1.9219280948873623
chr9	3343064	3343065	1.8690746665964333
chr9	3343081	3343082	0.863120568566631
chr9	3343099	3343100	0.9544340029249649
chr9	3343134	3343135	1.6893917467430877
chr9	3343189	3343190	1.4838317068446891
chr9	3343232	3343233	1.75
chr9	3343936	3343937	1.0
chr9	3344594	3344595	1.5
chr9	3344602	3344603	1.5692016899005172
chr9	3344635	3344636	0.9709505944546686
chr9	3344651	3344652	1.5
chr9	3345312	3345313	1.5510981710072647
chr9	3345855	3345856	1.9211854965885544
chr9	3346641	3346642	1.4197367178034825
chr9	3347611	3347612	1.4854752972273344
chr9	3347827	3347828	1.4854752972273344
chr9	3347841	3347842	0.9444885341662053
chr9	3347843	3347844	1.2486092328524885
chr9	3348167	3348168	1.360964047443681
chr9	3348932	3348933	1.0
chr9	3349434	3349435	1.3609640474436813
chr9	3349441	3349442	1.0957952550009338
chr9	3349455	3349456	1.5510981710072647
chr9	3349467	3349468	1.287054028118727
chr9	3349482	3349483	1.0
chr9	3352382	3352383	1.0
chr9	3353820	3353821	1.7295739585136223
chr9	3353834	3353835	2.0
chr9	3355128	3355129	1.4591479170272448
chr9	3356245	3356246	1.7924812503605778
chr9	3359529	3359530	1.7295739585136223
chr9	3359534	3359535	1.7280094930852963
chr9	3359552	3359553	0.9182958340544896
chr9	3359571	3359572	1.75
chr9	3359581	3359582	1.0219280948873624
chr9	3359589	3359590	0.8315435491770657
chr9	3360256	3360257	1.6854752972273346
chr9	3360269	3360270	1.9219280948873623
chr9	3361068	3361069	1.7924812503605778
chr9	3361117	3361118	1.7924812503605778
chr9	3364413	3364414	1.896240625180289
chr9	3365528	3365529	1.9056390622295665
chr9	3365542	3365543	2.0
chr9	3367510	3367511	1.842737648613667
chr9	3367869	3367870	0.9709505944546686
chr9	3367886	3367887	1.75
chr9	3367889	3367890	1.4137995646056802
chr9	3367910	3367911	0.8180959929710641
chr9	3367911	3367912	1.2750205188590278
chr9	3367913	3367914	0.9402859586706309
chr9	3367985	3367986	1.4854752972273344
chr9	3369693	3369694	1.0
chr9	3369765	3369766	1.6854752972273346
chr9	3369821	3369822	1.7295739585136223
chr9	3369822	3369823	1.0
chr9	3369830	3369831	1.9182958340544896
chr9	3369834	3369835	1.0
chr9	3369866	3369867	1.7244078178625923
chr9	3369886	3369887	2.0
